STATE_UT,DISTRICT,BLOCK,VILLAGE_NA,LATITUDE,LONGITUDE,DATE,WL(mbgl)
Andhra,Pradesh Alluri Sitharama Raju,Addateegala,Addateegala,17.46330,82.02710,01-08-23,8.1
Andhra,Pradesh Alluri Sitharama Raju Addateegala,Mallavaram,Mammilu,17.50320,82.01240,01-08-23,4.4
Andhra,Pradesh Alluri Sitharama Raju,Addateegala,Rayapalli,17.57208,82.00850,01-08-23,1.0
Andhra,Pradesh Alluri Sitharama Raju,Addateegala,Veerbhadrapuram,17.43790,82.07400,01-08-23,1.2
Andhra,Pradesh Alluri Sitharama Raju,Ananthagiri,Anantagiri,18.23880,83.00110,01-08-23,4.7
Andhra,Pradesh Alluri Sitharama Raju,Ananthagiri,Bangarammapeta,18.21600,83.10190,01-08-23,4.5
Andhra,Pradesh Alluri Sitharama Raju,Ananthagiri,Kottur,18.20740,83.07430,01-08-23,4.9
Andhra,Pradesh Alluri Sitharama Raju Araku,Valley,Araku,18.32070,82.88140,01-08-23,6.2
Andhra,Pradesh Alluri Sitharama Raju Araku,Valley,Sunkarametta,18.27850,82.96694,01-08-23,2.6
Andhra,Pradesh Alluri Sitharama Raju,Chintapalle,Antarla,17.86067,82.33823,01-08-23,3.8
Andhra,Pradesh Alluri Sitharama Raju,Chintapalle,Lambasingi,17.80710,82.49590,01-08-23,1.1
Andhra,Pradesh Alluri Sitharama Raju,Chintapalle,Lotugadda,17.85540,82.43610,01-08-23,0.9
Andhra,Pradesh Alluri Sitharama Raju,Chintoor,Chintoor,17.75600,81.38700,01-08-23,1.9
Andhra,Pradesh Alluri Sitharama Raju,Chintoor,Chirevalli,17.59458,81.08560,01-08-23,0.4
Andhra,Pradesh Alluri Sitharama Raju,Chintoor,Edugarallapalli,17.74267,81.17827,01-08-23,0.7
Andhra,Pradesh Alluri Sitharama Raju,Chintoor,Mothugudem,17.82787,81.63193,01-08-23,2.0
Andhra,Pradesh Alluri Sitharama Raju,Chintoor,Sarivela,17.78168,81.28287,01-08-23,2.4
Andhra,Pradesh Alluri Sitharama Raju,Dumbriguda,Dimriguda,18.28850,82.79210,01-08-23,1.8
Andhra,Pradesh Alluri Sitharama Raju,Gangavaram,Gangavaram,17.42620,81.91330,01-08-23,5.4
Andhra,Pradesh Alluri Sitharama Raju,Gangavaram,Jaderu,17.48050,81.95230,01-08-23,1.3
Andhra,Pradesh Alluri Sitharama Raju Gudem Kotha,Veedhi,Chaprati,17.76430,82.28964,01-08-23,6.1
Andhra,Pradesh Alluri Sitharama Raju Gudem Kotha,Veedhi,Gudem,17.86300,82.19570,01-08-23,2.5
Andhra,Pradesh Alluri Sitharama Raju,Hukumpeta,Kontela,18.13860,82.68780,01-08-23,2.2
Andhra,Pradesh Alluri Sitharama Raju,Hukumpeta,Rangasheela,18.21060,82.77880,01-08-23,1.1
Andhra,Pradesh Alluri Sitharama Raju,Koyyuru,Koyyuru,17.65990,82.21940,01-08-23,0.8
Andhra,Pradesh Alluri Sitharama Raju,Maredumilli,Maredumilli,17.59610,81.71549,01-08-23,4.2
Andhra,Pradesh Alluri Sitharama Raju,Nellipaka,Lakshmipuram,17.71967,81.04836,01-08-23,5.1
Andhra,Pradesh Alluri Sitharama Raju,Paderu,Garikabanda,17.94530,82.75660,01-08-23,2.7
Andhra,Pradesh Alluri Sitharama Raju,Paderu,Minimuluru,18.03690,82.69990,01-08-23,7.1
Andhra,Pradesh Alluri Sitharama Raju,Paderu,Paderu,18.07950,82.67350,01-08-23,5.3
Andhra,Pradesh Alluri Sitharama Raju,Paderu,Vontlamamidi,17.97460,82.73340,01-08-23,1.3
Andhra,Pradesh Alluri Sitharama Raju Peda,Bayalu,Gamparai,18.18250,82.63740,01-08-23,0.7
Andhra,Pradesh Alluri Sitharama Raju,Rajavommangi,Badadanapalli,17.58410,82.26850,01-08-23,1.1
Andhra,Pradesh Alluri Sitharama Raju,Rajavommangi,Jaddangi,17.48550,82.15820,01-08-23,6.8
Andhra,Pradesh Alluri Sitharama Raju,Rajavommangi,Lagarai,17.57350,82.19220,01-08-23,3.1
Andhra,Pradesh Alluri Sitharama Raju,Rajavommangi,Rajavommangi,17.54080,82.22290,01-08-23,1.9
Andhra,Pradesh Alluri Sitharama Raju,Rampachodavaram,Folkspeta,17.31390,81.83980,01-08-23,2.0
Andhra,Pradesh Alluri Sitharama Raju,Rampachodavaram,Rampachodavaram,17.44020,81.78050,01-08-23,4.9
Andhra,Pradesh Alluri Sitharama Raju,Rampachodavaram,Sitapalli,17.37620,81.79150,01-08-23,2.9
Andhra,Pradesh Alluri Sitharama Raju Y. Ramavaram,Chaviti,Tibalu,17.61830,81.98540,01-08-23,1.4
Andhra,Pradesh Alluri Sitharama Raju Y. Ramavaram,P.,Yerragonda,17.65830,81.94920,01-08-23,3.6
Andhra,Pradesh Anakapalli,Achutapuram,Haripalem,17.60917,82.97784,01-08-23,11.4
Andhra,Pradesh Anakapalli,Anakapalle,Anakapalli,17.68095,82.98170,01-08-23,2.9
Andhra,Pradesh Anakapalli,Butchayyapeta,Bangarumitta,17.83871,82.86782,01-08-23,3.5
Andhra,Pradesh Anakapalli,Butchayyapeta,L.Singavaram,17.81936,82.83775,01-08-23,3.6
Andhra,Pradesh Anakapalli,Chodavaram,Chodavaram,17.82420,82.94320,01-08-23,1.2
Andhra,Pradesh Anakapalli,Golugonda,Mallampet,17.67405,82.44868,01-08-23,2.3
Andhra,Pradesh Anakapalli Golugonda,Naganna,Dorapalem,17.67734,82.49440,01-08-23,2.3
Andhra,Pradesh Anakapalli Golugonda,Pata,K.D.Peta,17.67230,82.36190,01-08-23,1.7
Andhra,Pradesh Anakapalli,K.Kotapadu,K.Kotapadu,17.88410,83.04700,01-08-23,5.9
Andhra,Pradesh Anakapalli,Kasimkota,Tallapalem,17.63373,82.89215,01-08-23,4.1
Andhra,Pradesh Anakapalli,Kotauratla,Kotauratla,17.56487,82.68665,01-08-23,3.6
Andhra,Pradesh Anakapalli,Kotauratla,Yendapalli,17.61124,82.64991,01-08-23,1.9
Andhra,Pradesh Anakapalli,Narsipatnam,Narsipatnam,17.67606,82.59564,01-08-23,1.2
Andhra,Pradesh Anakapalli,Paravada,Dharmarayudupeta,17.77990,83.21590,01-08-23,9.5
Andhra,Pradesh Anakapalli,Rambilli,Pudimadaka,17.49280,83.00236,01-08-23,3.6
Andhra,Pradesh Anakapalli,Ravikamatham,Kothakota,17.75620,82.70510,01-08-23,1.0
Andhra,Pradesh Anakapalli,Ravikamatham,Medivoda,17.78451,82.77913,01-08-23,5.3
Andhra,Pradesh Anakapalli,Rolugunta,Rolugunta,17.71290,82.66680,01-08-23,3.3
Andhra,Pradesh Anakapalli,S.Rayavaram,Addaroddu,17.43203,82.74759,01-08-23,1.1
Andhra,Pradesh Anakapalli,S.Rayavaram,Gurrajupeta,17.40054,82.76798,01-08-23,3.6
Andhra,Pradesh Anakapalli,S.Rayavaram,Rayavaram,17.45476,82.80249,01-08-23,2.2
Andhra,Pradesh Anakapalli,S.Rayavaram,Revupolavaram,17.39716,82.81776,01-08-23,2.5
Andhra,Pradesh Anakapalli,Sabbavaram,Sabbavaram,17.79210,83.12990,01-08-23,2.7
Andhra,Pradesh Anakapalli,Yelamanchili,Yelamanchili,17.54635,82.85566,01-08-23,9.0
Andhra,Pradesh Ananthapuramu,Anantapur,Kamarupalli,14.66170,77.49913,01-08-23,8.8
Andhra,Pradesh Ananthapuramu,Atmakur,Waddipalli,14.67769,77.45620,01-08-23,4.9
Andhra,Pradesh Ananthapuramu,Beluguppa,Ramasagram,14.72320,77.25600,01-08-23,13.0
Andhra,Pradesh Ananthapuramu,Bukkarayasamudram,Korrapadu,14.75411,77.71196,01-08-23,2.6
Andhra,Pradesh Ananthapuramu,Bukkarayasamudram,Regadikotturu,14.76639,77.62333,01-08-23,3.0
Andhra,Pradesh Ananthapuramu,Gooty,Brahmanapalli,15.06780,77.54240,01-08-23,2.6
Andhra,Pradesh Ananthapuramu,Gooty,Gooty,15.11320,77.61550,01-08-23,4.8
Andhra,Pradesh Ananthapuramu,Gooty,Gooty,15.11790,77.64000,01-08-23,5.5
Andhra,Pradesh Ananthapuramu,Gummagatta,Gummagatta,14.56944,76.86694,01-08-23,2.0
Andhra,Pradesh Ananthapuramu,Guntakal,Guntakal,15.15571,77.38370,01-08-23,2.1
Andhra,Pradesh Ananthapuramu,Guntakal,Kogannapalle,15.18234,77.54350,01-08-23,2.1
Andhra,Pradesh Ananthapuramu,Kalyandrug,Kalyandurg,14.54830,77.10710,01-08-23,6.2
Andhra,Pradesh Ananthapuramu,Kambadur,Yeguvapalli,14.48850,77.27180,01-08-23,2.3
Andhra,Pradesh Ananthapuramu,Kudair,Kodadarakunta,14.73420,77.39610,01-08-23,2.8
Andhra,Pradesh Ananthapuramu,Kundurpi,Bodapalli,14.39900,77.07700,01-08-23,14.9
